Name,Genre,Description
"indiana jones and the dragon of vengeance (find your fate, no 8)",children,"it's time for you and indiana jones to find the dragon of vengeance. indiana jones is about to embark on his most dangerous adventure yet. to your great surprise, you realize that you are going with him to china to search for an ancient jade dragon with diamond eyes. you will be opposed by a violent secret society called the golden lotus, which wants the power of this precious relic for itself. you'll have other problems, too: hungry tigers, strange blood rituals, a gang of vicious thugs, even an earthquake! and remember: you are responsible for whatever happens, because you are going to make all the decisions - where to go, what to do, and how to handle it - as you find your fate. It's time for you and Indiana Jones to find The Dragon of Vengeance. Indiana Jones is about to embark on his most dangerous adventure yet. To your great surprise, you realize that you are going with him to China to search for an ancient jade dragon with diamond eyes. You will be opposed by a violent secret society called The Golden Lotus, which wants the power of this precious relic for itself. You'll have other problems, too: hungry tigers, strange blood rituals, a gang of vicious thugs, even an earthquake! And remember: YOU are responsible for whatever happens, because YOU are going to make all the decisions - where to go, what to do, and how to handle it - as you Find Your Fate."
all in a day,children,"ten outstanding artists illustrate the similarities and differences in children and their activities in eight different parts of the world throughout one 24-hour day. features artwork from raymond briggs, ron brooks, eric carle, gian calvi, zhu chengliang, leo and diane dillon, akiko hayashi, and nicolai ye. popov. Ten outstanding artists illustrate the similarities and differences in children and their activities in eight different parts of the world throughout one 24-hour day. Features artwork from Raymond Briggs, Ron Brooks, Eric Carle, Gian Calvi, Zhu Chengliang, Leo and Diane Dillon, Akiko Hayashi, and Nicolai Ye. Popov."
anno's counting book,children,"every child is a natural mathematician, according to mitsumasa anno. children start to count long before they learn their abc's, for they are constantly comparing and classifying things and events they observe around them. as they try to bring sense and order into what they observe, they are actually performing basic mathematical feats. in this book, mitsumasa anno, the creator of the brilliantly inventive anno's alphabet, invites young readers on another stimulating adventure of the imagination-this time into the world of numbers and counting. gentle watercolor pictures show a landscape changing through the various times of day and the turning seasons, months and years, and the activities of the people and animals who come to live there. but the seemingly simple plan of the book is deceptive: look more carefully and you will see one-to-one correspondences; groups and sets; scales and tabulations; changes over time periods; and many other mathematical relationships as they occur in natural, everyday living. just as our forebears developed our number system from observing the order of nature, the reader is subtly led to see and understand the real meaning of numbers. look at this book and look again. each time you do so, you will find another application of a natural mathematical concept that you had not noticed before. Every child is a natural mathematician, according to Mitsumasa Anno. Children start to count long before they learn their ABC's, for they are constantly comparing and classifying things and events they observe around them. As they try to bring sense and order into what they observe, they are actually performing basic mathematical feats. In this book, Mitsumasa Anno, the creator of the brilliantly inventive Anno's Alphabet, invites young readers on another stimulating adventure of the imagination-this time into the world of numbers and counting. Gentle watercolor pictures show a landscape changing through the various times of day and the turning seasons, months and years, and the activities of the people and animals who come to live there. But the seemingly simple plan of the book is deceptive: look more carefully and you will see one-to-one correspondences; groups and sets; scales and tabulations; changes over time periods; and many other mathematical relationships as they occur in natural, everyday living. Just as our forebears developed our number system from observing the order of nature, the reader is subtly led to see and understand the real meaning of numbers. Look at this book and look again. Each time you do so, you will find another application of a natural mathematical concept that you had not noticed before."
"the mystery at the dog show (the boxcar children, #35)",children,"during greenfield's first dog show, sunny is stolen. During Greenfield's first dog show, Sunny is stolen."
a bargain for frances,children,one day thelma tricks frances into buying her old plastic tea set. thelma says there are no backsies on the bargain. can frances come up with a plan that will change her friend's mind? outstanding children's books of 1970 (nyt) One day Thelma tricks Frances into buying her old plastic tea set. Thelma says there are no backsies on the bargain. Can Frances come up with a plan that will change her friend's mind? Outstanding Children's Books of 1970 (NYT)
the old woman who named things,children,"how does an old woman who has outlived all her friends keep from being lonely? by naming the things in her life she knows she will never outlive--like her house, franklin, and her bed, roxanne. when a shy brown puppy appears at her front gate, the old woman won't name it, because it might not outlive her. tender watercolors capture the charm of this heartwarming story of an old woman who doesn't know she's lonely until she meets a plucky puppy who needs a name--and someone to love. ""rylant and brown together create with affection and lovingly humorous touches a glimpse of old age lived with relish.""--booklist How does an old woman who has outlived all her friends keep from being lonely? By naming the things in her life she knows she will never outlive--like her house, Franklin, and her bed, Roxanne. When a shy brown puppy appears at her front gate, the old woman won't name it, because it might not outlive her. Tender watercolors capture the charm of this heartwarming story of an old woman who doesn't know she's lonely until she meets a plucky puppy who needs a name--and someone to love. ""Rylant and Brown together create with affection and lovingly humorous touches a glimpse of old age lived with relish.""--Booklist"
the spiderwick chronicles: the completely fantastical edition,children,"tony diterlizzi and holly black's bestselling series, the spiderwick chronicles, has been compiled into one fantastical edition! follow jared, simon, and mallory grace as they discover and embark on their adventures through a magical world parallel to our own full of faeries and fantastic creatures. this edition includes: - full text and selected artwork from books 1-5 - 3 lost chapters available together for the first time - exclusive ""making of spiderwick"" sketchbook - bonus gallery featuring 17 all-star artists giving their spin on the world of spiderwick. (description based on dust cover; image from diterlizzi.com) Tony DiTerlizzi and Holly Black's bestselling series, THE SPIDERWICK CHRONICLES, has been compiled into one fantastical edition! Follow Jared, Simon, and Mallory Grace as they discover and embark on their adventures through a magical world parallel to our own full of faeries and fantastic creatures. This edition includes: - Full text and selected artwork from books 1-5 - 3 Lost chapters available together for the first time - Exclusive ""Making of Spiderwick"" sketchbook - Bonus gallery featuring 17 all-star artists giving their spin on the world of Spiderwick. (description based on dust cover; image from diterlizzi.com)"
the house baba built: an artist's childhood in china,children,"i knew nothing could happen to us within those walls, in the house baba built. in ed young's childhood home in shanghai, all was not as it seemed: a rocking chair became a horse; a roof became a roller rink; an empty swimming pool became a place for riding scooters and bikes. the house his father built transformed as needed into a place to play hide-and-seek, to eat bamboo shoots, and to be safe. for outside the home's walls, china was at war. soon the house held not only ed and his four siblings but also friends, relatives, and even strangers who became family. the war grew closer, and ed watched as planes flew overhead and frends joined the chinese air force. but through it all, ed's childhood remained full of joy and imagination. this powerful, poignant, and exquisitely illustrated memoir is the story of one of our most beloved children's illustrators and the house his baba built. I knew nothing could happen to us within those walls, in the house Baba built. In Ed Young's childhood home in Shanghai, all was not as it seemed: a rocking chair became a horse; a roof became a roller rink; an empty swimming pool became a place for riding scooters and bikes. The house his father built transformed as needed into a place to play hide-and-seek, to eat bamboo shoots, and to be safe. For outside the home's walls, China was at war. Soon the house held not only Ed and his four siblings but also friends, relatives, and even strangers who became family. The war grew closer, and Ed watched as planes flew overhead and frends joined the Chinese air force. But through it all, Ed's childhood remained full of joy and imagination. This powerful, poignant, and exquisitely illustrated memoir is the story of one of our most beloved children's illustrators and the house his baba built."
the jester has lost his jingle,children,"in this charming tale, the jester awakes one morning to find laughter missing in his kingdom and he and his helpmate, pharley, set off on a quest to find it. they ultimately discover that not only can laughter redeem a weary world, it also can provide the best tonic for anyone facing seemingly insurmountable obstacles. In this charming tale, the Jester awakes one morning to find laughter missing in his kingdom and he and his helpmate, Pharley, set off on a quest to find it. They ultimately discover that not only can laughter redeem a weary world, it also can provide the best tonic for anyone facing seemingly insurmountable obstacles."
the fairies' birthday surprise,children,[scholastic reader level 2] come see the rainbow fairies in their early reader debut! [Scholastic Reader Level 2] Come see the Rainbow Fairies in their early reader debut!
the magic key,children,"the stage 5 biff, chip and kipper stories provide a rich story context to help develop language comprehension and decoding skills. stories, more stories a, more stories b and more stories c take the children into the less certain realms of fantasy through the magic key adventures. The Stage 5 Biff, Chip and Kipper stories provide a rich story context to help develop language comprehension and decoding skills. Stories, More Stories A, More Stories B and More Stories C take the children into the less certain realms of fantasy through the magic key adventures."
sleuth on skates (sesame seade mysteries #1),children,"a brand new contemporary mystery series for 9-11 year olds sees the launch of a laugh-out-loud new voice in children's fiction. armed with a pair of purple rollerskates and a brain with as many connections as there are stars in the universe, eleven-year-old sesame seade is more than qualified to be cambridge's number one self-made supersleuth. all she needs now is a mission. so when a student ballerina and aspiring journalist vanishes into thin air, some serious sleuthing begins. very much against her parents' wishes, but with help from her friends toby and gemma and a conspiratorial duck, sesame slips into the wings and solves the mystery of the missing dancer. illustrated throughout with hilarious artwork by sarah horne, this series features a smart and sassy heroine with a unique take on life. also in the series: gargoyles gone awol and scam on the cam. A brand new contemporary mystery series for 9-11 year olds sees the launch of a laugh-out-loud new voice in children's fiction. Armed with a pair of purple rollerskates and a brain with as many connections as there are stars in the universe, eleven-year-old Sesame Seade is more than qualified to be Cambridge's number one self-made supersleuth. All she needs now is a mission. So when a student ballerina and aspiring journalist vanishes into thin air, some serious sleuthing begins. Very much against her parents' wishes, but with help from her friends Toby and Gemma and a conspiratorial duck, Sesame slips into the wings and solves the mystery of the missing dancer. Illustrated throughout with hilarious artwork by Sarah Horne, this series features a smart and sassy heroine with a unique take on life. Also in the series: GARGOYLES GONE AWOL and SCAM ON THE CAM."
"polly the party fun fairy (rainbow magic, #19; party fairies, #5)",children,the party fairies have been busy preparing for the fairy king and queen's 1000th jubilee. jack frost isn't happy as it is also his 500th birthday and no-one has remembered. he sets out to steal each of the fairies' bags which hold key ingredients to the magical party. rachel and kirsty must help each fairy. The party fairies have been busy preparing for the fairy King and Queen's 1000th jubilee. Jack Frost isn't happy as it is also his 500th birthday and no-one has remembered. He sets out to steal each of the fairies' bags which hold key ingredients to the magical party. Rachel and Kirsty must help each fairy.
lots: the diversity of life on earth,children,"from the award-winning team behind tiny: the invisible world of microbes comes lots, a beautifully illustrated introduction to the concept of biodiversity for younger readers. there are living things everywhere: the more we look, the more we find. there are creatures on the tops of the tallest jungle trees, at the bottom of the coldest oceans, even under the feathers of birds and in boiling volcanic pools. so how many different kinds are there? one, two, three ... lots! with beautiful words from nicola davies and exquisite illustrations by emily sutton, this groundbreaking book is certain to enchant and inspire children. From the award-winning team behind Tiny: The Invisible World of Microbes comes Lots, a beautifully illustrated introduction to the concept of biodiversity for younger readers. There are living things everywhere: the more we look, the more we find. There are creatures on the tops of the tallest jungle trees, at the bottom of the coldest oceans, even under the feathers of birds and in boiling volcanic pools. So how many different kinds are there? One, two, three ... lots! With beautiful words from Nicola Davies and exquisite illustrations by Emily Sutton, this groundbreaking book is certain to enchant and inspire children."
"cooking camp disaster (nancy drew and the crew clue, #35)",children,"nancy drew and the clue crew need to discover who's tricking their taste buds! nancy, bess, and george are excited to be spending some of their summer at kid kuisine, a cooking camp where they are going to learn how to make delicious treats from chef giorgio. at the end of the camp, they will be cooking for their families--and someone will win best chef! but after a few days, it's clear that one of their fellow campers is not as excited as they are. from salty brownies to super-spicy pizza, things are not as yummy as they should be: someone is sabotaging the food. could it be the stuck-up jeremy, who is intent on winning best chef? or the chef's assistant, who might have hidden motives of her own? it's up to the clue crew to figure out who's ruining the recipes--and everyone's appetite! Nancy Drew and the Clue Crew need to discover who's tricking their taste buds! Nancy, Bess, and George are excited to be spending some of their summer at Kid Kuisine, a cooking camp where they are going to learn how to make delicious treats from Chef Giorgio. At the end of the camp, they will be cooking for their families--and someone will win Best Chef! But after a few days, it's clear that one of their fellow campers is not as excited as they are. From salty brownies to super-spicy pizza, things are not as yummy as they should be: Someone is sabotaging the food. Could it be the stuck-up Jeremy, who is intent on winning Best Chef? Or the chef's assistant, who might have hidden motives of her own? It's up to the Clue Crew to figure out who's ruining the recipes--and everyone's appetite!"
shark beneath the reef,children,"like his father and grandfather before him, 14-year-old tomas torres dreams of catching a great shark in the sea of cortez -- and he will catch it, although there are other things he should be thinking about. with an education, her could someday become a marine biologist. tomas's family want him to stay in school. but tomas knows he will be more help to them if he leaves school now to become a fisherman. should he drop out? the choice is tomas alone -- a difficult one for a boy just becoming a man. it is only underwater, in a confrontation with the fisherman's greatest prize and worst enemy, that tomas finds the strength to make his decision. Like his father and grandfather before him, 14-year-old Tomas Torres dreams of catching a great shark in the Sea of Cortez -- and he will catch it, although there are other things he should be thinking about. With an education, her could someday become a marine biologist. Tomas's family want him to stay in school. But Tomas knows he will be more help to them if he leaves school now to become a fisherman. Should he drop out? The choice is Tomas alone -- a difficult one for a boy just becoming a man. It is only underwater, in a confrontation with the fisherman's greatest prize and worst enemy, that Tomas finds the strength to make his decision."
wayside school gets a little stranger (wayside school #3),children,all the kids from wayside school had to spend 243 days in horrible schools while wayside was closed to get rid of the infestation of cows! now the kids are back and the fun begins again on every floor. miss mush has prepared a special lunch of baked liver in purple sauce and it is pet day on the 30th floor. All the kids from Wayside School had to spend 243 days in horrible schools while Wayside was closed to get rid of the infestation of cows! Now the kids are back and the fun begins again on every floor. Miss Mush has prepared a special lunch of baked liver in purple sauce and it is pet day on the 30th floor.
school days around the world,children,"author margriet ruurs begins this engaging informational picture book by posing an intriguing question: ""what is a school? is it a building with classrooms? or can it be any place where children learn?"" the fascinating stories that follow will expand how young readers think of school, as they learn about the experiences of real children in thirteen different countries around the world. from marta in azezo, ethiopia, and luciano in m?rida, venezuela, to alina in taraz, kazakhstan, and lu in shanghai, china, the children who are profiled live in places that truly span the globe. however, while there are huge differences in their environments, all the children share similar desires to learn, read and play with others. alice feagan's charming cut-paper collage artwork further enhances the idea of a global community by featuring smiling, enthusiastic children's faces, which are equally joyous and filled with life in every situation. as with all the titles in the popular around the world series, using a familiar concept such as going to school is a perfect way to introduce children to other cultures and places in social studies classes. the author has provided several resources at the end of the book, including discussion topics and a list of organizations that help children access education. a world map at the beginning of the book shows the location of each of the countries, and a glossary contains definitions of the foreign words. these, along with a table of contents, make useful tools for familiarizing young readers with book navigation. Author Margriet Ruurs begins this engaging informational picture book by posing an intriguing question: ""What is a school? Is it a building with classrooms? Or can it be any place where children learn?"" The fascinating stories that follow will expand how young readers think of school, as they learn about the experiences of real children in thirteen different countries around the world. From Marta in Azezo, Ethiopia, and Luciano in M?rida, Venezuela, to Alina in Taraz, Kazakhstan, and Lu in Shanghai, China, the children who are profiled live in places that truly span the globe. However, while there are huge differences in their environments, all the children share similar desires to learn, read and play with others. Alice Feagan's charming cut-paper collage artwork further enhances the idea of a global community by featuring smiling, enthusiastic children's faces, which are equally joyous and filled with life in every situation. As with all the titles in the popular Around the World series, using a familiar concept such as going to school is a perfect way to introduce children to other cultures and places in social studies classes. The author has provided several resources at the end of the book, including discussion topics and a list of organizations that help children access education. A world map at the beginning of the book shows the location of each of the countries, and a glossary contains definitions of the foreign words. These, along with a table of contents, make useful tools for familiarizing young readers with book navigation."
christmas tree,children,"sweet illustrations and simple language bring the holidays to life for the youngest of children. at christmastime, a tree from the outside comes inside, just waiting to be decorated. and did you know that some of the tree's ornaments are inspired by outdoor things, too -- like a snowflake, a ball, a bird, and a star? spare language and luminous collage paintings offer a fresh, inviting look at well-loved traditions. Sweet illustrations and simple language bring the holidays to life for the youngest of children. At Christmastime, a tree from the outside comes inside, just waiting to be decorated. And did you know that some of the tree's ornaments are inspired by outdoor things, too -- like a snowflake, a ball, a bird, and a star? Spare language and luminous collage paintings offer a fresh, inviting look at well-loved traditions."
the arthur rackham fairy book,children,"""old tales with new ilustrations"" was how this delightful book was described on its original appearance in 1933. it has been reprinted frequently since then, but arthur rackham's illustrations are still new and freshly attractive to those picking up the volume for the first time. the 23 stories in the book are some of the most famous fairy tales ever told to successive generations of young readers. they include such well-loved tales as 'cinderella', 'rip van winkle', 'blue beard' 'the ugly duckling', 'puss in boots', and 'hansel and grethel'. the arthur rackham fairy bookis filled with over 50 black and white line drawings and 8 superb color plates that will capture the imagination of old and young readers alike. -copied from flap of dust jacket ""Old Tales with New Ilustrations"" was how this delightful book was described on its original appearance in 1933. It has been reprinted frequently since then, but Arthur Rackham's illustrations are still new and freshly attractive to those picking up the volume for the first time. The 23 stories in the book are some of the most famous fairy tales ever told to successive generations of young readers. They include such well-loved tales as 'Cinderella', 'Rip Van Winkle', 'Blue Beard' 'The Ugly Duckling', 'Puss in Boots', and 'Hansel and Grethel'. The Arthur Rackham Fairy Bookis filled with over 50 black and white line drawings and 8 superb color plates that will capture the imagination of old and young readers alike. -copied from flap of dust jacket"
scaredy kat (suddenly supernatural #2),children,"now that she's acquired her spirit sight, kat discovers being followed around by a bunch of dead people can be pretty scary. so when kat and her best friend, jac, explore an abandoned old house that leads to a search for a missing boy, kat's not sure if she wants to help - or even if she can. and when evidence surfaces that spirits are following kat, even into her own room, she has to face down her own fear. can kat keep the undead in control? Now that she's acquired her Spirit sight, Kat discovers being followed around by a bunch of dead people can be pretty scary. So when Kat and her best friend, Jac, explore an abandoned old house that leads to a search for a missing boy, Kat's not sure if she wants to help - or even if she can. And when evidence surfaces that spirits are following Kat, even into her own room, she has to face down her own fear. Can Kat keep the undead in control?"
deluxe dork diaries,children,titles in this set: dork diaries 3 1/2: how to dork your diary; dork diaries; dork diaries: party time; dork diaries: pop star Titles in This Set: Dork Diaries 3 1/2: How to Dork Your Diary; Dork Diaries; Dork Diaries: Party Time; Dork Diaries: Pop Star
froggy gets dressed board book,children,"getting dressed for a romp in the snow isn't as easy as it sounds. socks, boots, hat, mittens, scarf, coat, pants, shirt...will froggy ""ever"" pull it all together? Getting dressed for a romp in the snow isn't as easy as it sounds. Socks, boots, hat, mittens, scarf, coat, pants, shirt...will Froggy ""ever"" pull it all together?"
the haunted fort (the hardy boys # 03),children,"librarian notes:this is an alternate cover edition isbn10: 0006908144. frank and joe hardy are the sons of the famous detective fenton hardy, and like their father they're superb crime-fighters, but with this case they may have met their match... a series of baffling art thefts lead frank and joe hardy to new england. but there's a lot more at stakes than a few stolen paintings... Librarian Notes:This is an alternate cover edition ISBN10: 0006908144. Frank and Joe Hardy are the sons of the famous detective Fenton Hardy, and like their father they're superb crime-fighters, but with this case they may have met their match... A series of baffling art thefts lead Frank and Joe Hardy to New England. But there's a lot more at stakes than a few stolen paintings..."
"superfudge (fudge, #2)",children,"farley drexel hatcher, otherwise known as fudge, plans to be a bird when he grows up. as far as his older brother, peter, is concerned, fudge will grow up to be a big pain! dealing with fudge has been hard enough, but now peter has a whole new set of problems. his parents have decided to move to new jersey for a whole year! what's more, peter's mom is going to have a new baby. how will peter survive if the new baby becomes a carbon copy of fudge? Farley Drexel Hatcher, otherwise known as Fudge, plans to be a bird when he grows up. As far as his older brother, Peter, is concerned, Fudge will grow up to be a big pain! Dealing with Fudge has been hard enough, but now Peter has a whole new set of problems. His parents have decided to move to New Jersey for a whole year! What's more, Peter's mom is going to have a new baby. How Will Peter survive if the new baby becomes a carbon copy of Fudge?"
